TimeTreatColocRelationship,Time,Treatment,ColocRelationship,Percentage,Labels
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,95.15,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,100,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,74.09,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,57.81,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,66.6,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,63.33,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,83.15,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,100,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,95,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,67.81,48H Xchem 4uM 
48H Xchem 4uM M2 to M1,48,Xchem 4uM,M2 to M1,73.57,48H Xchem 4uM 
